Coin name,Market Cap,Fully Diluted Market Cap,Last Price,Available Coins,Total Coins,Traded Volume
Bitcoin,811.751B,900.942B,42901.99,18.921M,21.000M,38.968B
Ethereum,409.817B,409.817B,3442.63,119.042M,119.042M,19.623B
Tether,78.518B,82.733B,1.00,78.542B,82.759B,81.398B
Binance Coin,77.613B,77.613B,465.30,166.801M,166.801M,3.283B
Solana,46.088B,76.205B,148.95,309.419M,511.617M,2.242B
USD Coin,42.810B,42.810B,1.00,42.806B,42.806B,4.969B
Cardano,0.00%,40.501B,54.405B,1.21,33.500B,45.000B
XRP,1.470B,35.799B,75.245B,0.75,47.577B,100.000B
HEX,2.467B,33.342B,121.813B,0.19,173.411B,633.543B
Terra,27.316M,27.306B,63.141B,75.95,359.515M,831.305M
Polkadot,2.293B,25.499B,28.487B,25.82,987.579M,1.103B
Avalanche,1.772B,22.717B,36.856B,93.10,244.019M,395.891M
Dogecoin,1.167B,20.657B,20.657B,0.16,132.671B,132.671B
HitChain,1.058B,18.384B,30.640B,0.30,61.440B,102.400B
SHIBA INU,107.864K,16.497B,17.719B,0.00,549063.279B,589735.030B
Polygon,1.210B,15.185B,21.200B,2.12,7.163B,10.000B
Wrapped Bitcoin,1.975B,11.208B,11.208B,42952.83,260.940K,260.940K
ChainLink,339.746M,11.036B,23.632B,23.63,467.010M,1.000B
Uniswap,4.115B,10.473B,16.697B,16.70,627.276M,1.000B
TerraUSD,636.392M,10.348B,10.348B,1.00,10.348B,10.348B
Algorand,267.479M,9.694B,15.031B,1.50,6.449B,10.000B
Dai,698.013M,9.349B,9.349B,1.00,9.349B,9.349B
Litecoin,632.450M,9.328B,11.298B,134.50,69.351M,84.000M
NEAR Protocol,1.405B,9.049B,14.992B,14.99,603.597M,1.000B
Cosmos,1.246B,8.188B,10.280B,36.20,226.226M,284.011M
Bitcoin Cash,2.173B,7.441B,8.298B,395.14,18.831M,21.000M
TRON,5.221B,7.128B,7.128B,0.07,101.850B,101.850B
Fantom,1.680B,6.906B,8.615B,2.71,2.545B,3.175B
Stellar,2.604B,6.448B,13.026B,0.26,24.751B,50.002B
Internet Computer,542.962M,5.699B,14.137B,29.70,191.882M,476.005M
VeChain,1.246B,5.272B,7.108B,0.08,64.316B,86.713B
Decentraland,736.407M,5.150B,6.193B,2.82,1.825B,2.194B
FTX Token,704.369M,5.116B,12.984B,36.87,138.768M,352.170M
Hedera Hashgraph,379.480M,5.084B,14.049B,0.28,18.093B,50.000B
Filecoin,220.152M,4.754B,4.754B,32.62,145.737M,145.737M
Axie Infinity,833.370M,4.708B,20.869B,77.29,60.907M,270.000M
Bitcoin BEP2,507.351M,4.509B,4.826B,42893.19,105.120K,112.501K
The Sandbox,59.610M,4.441B,14.490B,4.83,919.498M,3.000B
Theta Token,1.311B,4.262B,4.262B,4.26,1.000B,1.000B
Ethereum Classic,408.520M,4.127B,6.583B,31.24,132.101M,210.700M
Elrond,425.548M,4.098B,6.445B,205.14,19.977M,31.416M
Helium,282.867M,3.934B,8.310B,37.26,105.577M,223.000M
Toncoin,76.926M,3.897B,15.953B,3.19,1.221B,5.000B
Tezos,4.543M,3.778B,3.900B,4.33,873.341M,901.639M
UNUS SED LEO,418.372M,3.639B,3.759B,3.81,953.954M,985.240M
Monero,4.284M,3.570B,3.570B,197.72,18.058M,18.058M
Klaytn,171.146M,3.393B,14.131B,1.31,2.584B,10.764B
CoTrader,106.598M,3.241B,3.432B,0.17,18.887B,20.000B
IOTA,865,3.158B,3.158B,1.14,2.780B,2.780B
BigONE Token,81.258M,3.149B,3.620B,0.27,11.577B,13.306B
Aave,395.317M,2.996B,3.557B,222.30,13.478M,16.000M
The Graph,464.916M,2.929B,6.245B,0.62,4.716B,10.057B
PancakeSwap,225.915M,2.851B,2.851B,11.14,255.808M,255.808M
EOS,171.742M,2.802B,2.994B,2.87,977.076M,1.044B
Stacks,666.375M,2.766B,3.891B,2.14,1.292B,1.818B
BitTorrent,158.970M,2.687B,2.687B,0.00,990.000B,990.000B
Flow (Dapper Labs),404.427M,2.584B,11.238B,8.15,316.836M,1.378B
Gala,92.270M,2.513B,12.691B,0.36,6.977B,35.240B
Curve DAO Token,687.081M,2.346B,17.372B,5.26,446.023M,3.303B
Loopring,1.043B,2.321B,2.401B,1.75,1.329B,1.375B
THORChain,306.482M,2.237B,3.382B,6.76,330.688M,500.000M
Kusama,114.296M,2.205B,2.512B,260.30,8.470M,9.651M
Maker,118.996M,2.150B,2.192B,2180.10,986.147K,1.006M
Bitcoin SV,125.850M,2.131B,2.362B,112.49,18.944M,21.000M
Enjin Coin,124.343M,2.002B,2.364B,2.36,846.735M,1.000B
Quant,339.438M,1.956B,2.368B,162.05,12.073M,14.612M
eCash,49.263M,1.951B,2.162B,0.00,18943.648B,21000.000B
Amp,34.078M,1.924B,4.216B,0.05,42.228B,92.548B
Celo,38.443M,1.915B,4.948B,4.95,387.111M,1.000B
Convex Finance,195.296M,1.853B,4.127B,41.27,44.908M,100.000M
Arweave,71.628M,1.838B,3.633B,55.05,33.395M,66.000M
Zcash,94.225M,1.803B,2.812B,133.92,13.461M,21.000M
Basic Attention Token,323.894M,1.693B,1.700B,1.13,1.494B,1.500B
NEO,354.849M,1.689B,2.394B,23.94,70.539M,100.000M
Kadena,142.576M,1.687B,10.130B,10.13,166.510M,1.000B
Chiliz,96.644M,1.616B,2.412B,0.27,5.955B,8.889B
Waves,296.545M,1.499B,1.499B,13.99,107.149M,107.149M
Popsicle Finance,116.561M,1.483B,2.181B,18.00,82.375M,121.183M
Huobi Token,239.018K,1.412B,4.477B,8.95,157.724M,500.000M
Spell Token,86.213M,1.349B,3.310B,0.02,79.866B,196.009B
TrueUSD,175.213M,1.299B,1.299B,1.00,1.299B,1.299B
Nexo,154.040M,0.00%,1.279B,2.283B,2.28,560.000M
Dash,1.000B,14.154M,1.265B,2.274B,120.29,10.516M
Oasis Network,18.900M,232.170M,1.259B,3.604B,0.36,3.493B
Compound,10.000B,272.826M,1.247B,1.974B,197.42,6.314M
Mina,10.000M,234.639M,1.210B,2.920B,3.54,341.504M
Ravencoin,824.105M,152.575M,1.177B,2.363B,0.11,10.461B
yearn.finance,21.000B,330.685M,1.166B,1.167B,31835.74,36.638K
Holo,36.666K,407.192M,1.134B,1.164B,0.01,173.114B
XinFin Network,177.619B,127.491M,1.128B,3.458B,0.09,12.305B
Symbol,37.705B,12.231M,1.049B,1.691B,0.19,5.582B
IoTeX,9.000B,10.057M,1.016B,1.065B,0.11,9.541B
1inch,10.000B,45.216M,986.184M,3.374B,2.25,438.446M
Pax Dollar,1.500B,142.198M,945.643M,945.643M,1.00,945.643M
Theta Fuel,945.643M,13.060M,0.00%,944.247M,944.247M,0.18
SushiSwap,5.301B,5.301B,33.659M,941.435M,1.850B,7.40
Livepeer,127.244M,250.000M,695.895M,939.223M,1.017B,44.38
Velas,21.165M,22.907M,160.678M,934.579M,934.579M,0.42
DeFiChain,2.246B,2.246B,30.011M,933.550M,3.728B,3.11
Gnosis,300.512M,1.200B,9.191M,892.036M,4.783B,478.30
Decred,1.865M,10.000M,9.034M,881.032M,1.355B,64.54
Secret,13.651M,21.000M,4.025M,872.991M,1.108B,5.83
Revain,149.816M,190.165M,25.756M,802.855M,802.855M,0.01
Ankr,85.061B,85.061B,1.981M,802.366M,982.942M,0.10
WAX,8.163B,10.000B,100.996M,801.921M,1.617B,0.42
Qtum,1.900B,3.832B,41.465M,801.362M,873.165M,8.10
Zilliqa,98.956M,107.822M,174.950M,782.042M,1.343B,0.06
Render Token,12.228B,21.000B,82.544M,773.458M,2.207B,4.11
OmiseGO,188.116M,536.871M,77.066M,764.399M,764.399M,5.45
Bancor,140.245M,140.245M,326.979M,756.762M,756.762M,3.25
renBTC,232.993M,232.993M,84.812M,755.367M,588.169M,42938.34
Voyager Token,17.592K,13.698K,5.972M,745.546M,747.971M,2.68
Telcoin,278.482M,279.388M,16.287M,743.762M,1.289B,0.01
Celsius,57.682B,100.000B,6.472M,743.612M,2.166B,3.11
ICON,238.864M,695.658M,17.388M,740.922M,855.396M,1.07
Audius,693.339M,800.460M,66.097M,728.030M,1.514B,1.41
Facebook tokenized stock Bittrex,515.746M,1.073B,30.984M,708.500M,61.977B,325.00
Siacoin,2.180M,190.700M,662.995K,705.077M,705.077M,0.01
Horizen,49.864B,49.864B,36.344M,704.307M,1.240B,59.06
Synthetix Network Token,11.924M,21.000M,65.473M,697.259M,1.290B,6.07
MobileCoin,114.842M,212.424M,294.566M,694.684M,2.340B,9.36
Bitcoin Gold,74.218M,250.000M,1.538M,672.720M,806.623M,38.41
0x,17.514M,21.000M,29.401M,669.183M,789.600M,0.79
Parachute,847.496M,1.000B,73.581M,668.347M,1.097B,1.10
Ethereum Name Service,608.771M,999.628M,182.877K,663.277M,3.276B,32.76
UMA,20.245M,100.000M,141.176M,658.402M,1.025B,10.13
Perpetual Protocol,64.973M,101.173M,272.405M,656.263M,1.322B,8.81
Wootrade,74.475M,150.000M,53.737M,617.985M,3.228B,1.08
Kava,574.263M,3.000B,91.228M,614.465M,647.154M,4.20
WhiteCoin,146.225M,154.004M,96.207M,593.536M,797.548M,0.80
Keystone of Opportunity & Knowledge,744.201M,1.000B,8.681M,592.364M,27.595B,5.52
Nervos Network,107.333M,5.000B,10.657M,590.471M,707.481M,0.02
Anchor Protocol,29.284B,35.086B,15.016M,586.525M,3.052B,3.05
SKALE Network,192.177M,1.000B,25.727M,583.175M,1.283B,0.18
Datamine FLUX,3.182B,7.000B,44.355M,576.477M,1.136B,2.58
SwissBorg,223.363M,440.000M,92.223M,573.784M,573.784M,0.57
Frax Share,1.000B,1.000B,2.256M,563.374M,3.472B,34.76
Hive Blockchain,16.209M,99.899M,32.373M,562.161M,562.161M,1.46
Illuvium,385.240M,385.240M,52.445M,558.045M,8.680B,868.02
Storj,642.892K,10.000M,40.593M,549.427M,662.575M,1.56
Syscoin,352.423M,425.000M,78.711M,548.859M,777.178M,0.88
Ontology,627.124M,888.000M,48.914M,541.346M,618.504M,0.62
Neutrino USD,875.250M,1.000B,90.829M,532.044M,532.044M,0.98
IOStoken,540.836M,540.837M,11.955M,528.481M,2.628B,0.03
Moonriver,18.100B,90.000B,61.528M,514.138M,1.890B,189.05
Ocean Protocol,2.720M,10.000M,67.798M,513.438M,1.181B,0.84
Ren,613.099M,1.410B,101.291M,499.292M,500.411M,0.50
dYdX,997.764M,1.000B,71.349M,490.176M,7.476B,7.48
NuCypher,65.569M,1.000B,205.008M,474.583M,2.623B,0.68
Celer Network,703.000M,3.885B,81.836M,457.904M,746.841M,0.07
